Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ14,OUT018,1723.6251415863358
DRG49,OUT049,4054.2663597883256
NCG06,OUT045,4226.123625643947
DRC36,OUT045,2857.748378785659
FDV21,OUT019,300.9693759127895
FDB53,OUT046,2440.4772396850026
DRP47,OUT019,606.7405134800954
FDA14,OUT013,2379.2451841669977
DRC24,OUT035,2502.0332723167767
FDW21,OUT018,1416.364920719606
NCH29,OUT046,1598.394807552536
FDU58,OUT013,3115.3826651643712
FDY27,OUT017,2931.8554914344977
FDV56,OUT035,1777.029570381927
FDT59,OUT046,3802.3927990778657
FDB23,OUT046,3710.8874162168404
FDR49,OUT045,743.8673339545408
FDB03,OUT010,612.4740330315187
FDN39,OUT045,2717.57258441581
FDX02,OUT027,5809.141225089428
FDQ16,OUT027,2879.652430649253
FDU35,OUT018,1398.2615580945508
NCT29,OUT013,2000.8591176712468
FDZ27,OUT046,776.4450376195289
FDN57,OUT017,2297.234916904017
FDA03,OUT018,2041.067610773558
FDZ36,OUT045,3066.8287320721383
NCU05,OUT013,1320.5001747424094
FDT39,OUT018,2136.1976386465176
FDK60,OUT017,1581.07079649268
FDZ25,OUT017,2780.5662600345854
FDG12,OUT046,2008.2401642429156
DRB01,OUT019,460.8029268397918
NCC43,OUT027,6506.692011101404
FDX13,OUT019,597.5626669879146
FDM22,OUT049,850.3666696328012
FDJ03,OUT027,1383.228192371016
FDU14,OUT018,3529.330323250314
FDB33,OUT010,389.35549956403815
FDP27,OUT046,3145.9793901580606
FDO38,OUT010,169.31244849146015
FDE28,OUT027,6035.842309923053
FDO27,OUT035,1564.3000811766647
DRL23,OUT027,2861.9407734791766
FDS28,OUT046,906.2164531778296
FDX24,OUT013,1514.369191049817
FDZ02,OUT035,1579.9175031176542
FDL46,OUT045,1904.206162527735
FDS60,OUT027,4682.177990320516
NCO06,OUT017,510.70639412999685
FDO16,OUT035,1386.4642006227373
FDC60,OUT049,1431.8723825364461
FDA48,OUT018,3114.7091972034705
FDZ36,OUT027,4876.665903438448
FDK27,OUT045,1978.6061893092692
FDW23,OUT018,533.142069117114
FDM14,OUT018,1540.6441794454065
FDM14,OUT013,1767.8697123079
FDW60,OUT018,2518.513764361708
FDE21,OUT013,1905.9426557014747
NCM42,OUT035,1797.421380671447
FDY59,OUT010,227.55246414910948
DRI49,OUT049,1320.1422573335308
FDT28,OUT019,364.249297180005
FDQ22,OUT018,529.5157692776595
FDR60,OUT049,1240.214267462984
FDC50,OUT019,228.67555819258519
FDV24,OUT013,2503.3450691187127
DRF48,OUT010,484.0064305730341
FDQ47,OUT046,585.4624507413403
DRN36,OUT049,1585.594121466361
NCY06,OUT035,2104.688642131813
FDE52,OUT035,1461.8669033456483
NCB54,OUT045,2085.6349022627205
NCF31,OUT035,2511.971882183724
FDJ08,OUT027,4962.014046664372
NCC07,OUT017,1724.7803577587429
NCD19,OUT027,1507.4739182205255
FDL46,OUT049,1937.4626769126583
FDM20,OUT045,4067.423125236489
NCI06,OUT010,455.38118455111794
DRM11,OUT035,4290.02251600125
NCH07,OUT018,2231.6345369722826
FDS23,OUT013,2133.7672973807466
FDO49,OUT018,673.5743814763812
FDS35,OUT049,1059.7704578673913
DRK39,OUT045,1349.5036184014875
DRI39,OUT049,937.580922871025
FDV04,OUT017,2603.9332108848403
NCN14,OUT035,2996.912807973116
FDH08,OUT013,3819.4140729005157
FDS20,OUT046,3018.2876730576963
FDV40,OUT049,1217.3982453153606
FDZ48,OUT010,259.4111429980794
FDS24,OUT027,2365.6283429077666
FDK44,OUT049,2864.0909710739516
FDS48,OUT045,2468.5476881491413
FDK26,OUT010,480.43475911315704
FDD23,OUT045,3109.889196770864
NCH54,OUT017,2653.9980814441437
NCP14,OUT010,261.1829850149795
FDM60,OUT010,77.9078263392687
FDV24,OUT017,2495.0309405224816
FDH08,OUT018,3243.4357636594214
FDS12,OUT027,3383.6499020289007
FDR39,OUT027,4729.497117993711
FDP12,OUT027,1068.7713573431236
DRF60,OUT027,6147.323655368661
FDC09,OUT035,1674.2906789353083
FDF50,OUT018,2815.3464756985954
FDG28,OUT035,4030.125853248186
NCE19,OUT017,897.4671137498574
NCM53,OUT010,251.84899254369748
NCN18,OUT049,1819.7497148772184
FDF32,OUT035,3276.2843182961487
FDF11,OUT013,3954.7476606917617
DRI59,OUT049,3718.799346901619
NCG54,OUT035,2789.189099219508
FDM44,OUT046,1656.0817038717498
FDT57,OUT018,3339.240079913071
FDV24,OUT046,2493.3681148032356
FDI50,OUT019,547.7688349094183
FDS09,OUT035,826.1514859017382
NCC31,OUT027,4068.370276222233
FDQ07,OUT019,526.7007754872006
FDC22,OUT017,3168.0922528437695
FDZ56,OUT046,2780.9746177847346
FDZ40,OUT019,130.92969535306202
FDS46,OUT027,3148.5272721456668
DRD24,OUT045,2306.392688677024
FDV45,OUT017,3109.687720957351
FDL26,OUT045,2553.3388138605765
FDA56,OUT018,1731.1432340701924
FDN27,OUT046,1924.0660166075672
FDM20,OUT049,4047.4692166055347
FDO16,OUT017,1356.5333376763062
FDL03,OUT035,3213.7160677020483
FDE58,OUT046,1907.7524433552835
FDI02,OUT027,2992.134405995207
NCC55,OUT019,94.8678775220726
FDR03,OUT018,2904.1424408947023
FDB14,OUT017,1499.696723241477
FDR45,OUT013,3978.3626770071764
NCN07,OUT017,2124.185838972365
FDM51,OUT019,246.7915581371924
FDT52,OUT027,6362.1289268692435
FDL26,OUT046,2528.3964280718837
NCZ42,OUT046,3945.547040659216
DRI47,OUT019,350.6874649907236
FDW40,OUT013,2315.602134312388
FDN34,OUT046,2779.6046689007417
FDS01,OUT035,2937.1449423774375
NCG55,OUT045,1897.518638800683
FDC11,OUT035,1412.9848823045247
FDX35,OUT018,3212.4861715990737
NCB06,OUT046,2630.2725227661826
FDR09,OUT019,624.6168203849488
FDC53,OUT017,1586.9730406749295
FDY45,OUT013,4207.488844814565
FDA22,OUT010,428.4677911283734
FDE02,OUT035,1559.3203923243013
FDW21,OUT045,1656.2071197834846
FDV34,OUT046,1196.2884643748837
FDS59,OUT049,1782.0351148141895
NCW17,OUT017,2089.447020356718
NCK54,OUT046,1919.5381382906971
FDG17,OUT019,587.1106122964018
FDG35,OUT017,2836.377020010395
FDD08,OUT010,77.03086726234687
NCO07,OUT017,3485.7089862608445
FDJ10,OUT010,361.2460480290081
FDW36,OUT017,1702.1554789838947
FDW21,OUT010,250.34268358852546
FDY19,OUT017,1923.2925345759675
DRE03,OUT013,743.3041282765673
NCC55,OUT049,607.3322228750824
FDH52,OUT010,144.6279406741794
FDO09,OUT017,4370.017595448999
FDU43,OUT045,3942.6561074189885
FDX09,OUT010,443.87560032991405
FDH40,OUT019,200.91478971435617
FDW58,OUT017,1696.0821556764827
FDC47,OUT017,3745.7733832542617
NCR41,OUT035,1532.7655092653067
DRG49,OUT035,4045.9522311920946
FDC52,OUT027,4009.287398045483
FDY13,OUT046,1210.4424996413004
FDY35,OUT013,695.5448675603163
FDI35,OUT017,2990.413393348307
NCU18,OUT049,2318.607128459216
FDY33,OUT018,2230.7846310807613
FDC15,OUT027,4142.823236015459
FDU01,OUT049,3060.764159772659
NCU42,OUT046,2793.9100129562353
NCV29,OUT018,2507.679278516109
NCY30,OUT017,3000.9889008171976
FDQ46,OUT049,1841.5394159316502
FDG58,OUT027,4048.052917839582
FDK33,OUT017,3508.9773405149263
NCD07,OUT045,1897.587566424775
NCX29,OUT027,3809.654113917145
NCT42,OUT013,2445.3901122769976
DRN59,OUT035,730.0161227549524
FDI44,OUT035,1279.3990430345639
FDA45,OUT049,2922.1657634518024
FDP31,OUT045,1051.3497607887043
FDY01,OUT046,1886.2200896414647
FDT09,OUT018,1863.008994609627
DRH03,OUT027,2550.0236082491156
FDA36,OUT018,2644.2290828430628
NCF31,OUT017,2525.2744879376937
FDG14,OUT049,2490.5274604797714
FDG28,OUT027,6377.366945656231
FDU14,OUT049,4123.008515992841
FDY47,OUT019,315.97559835962875
FDI56,OUT049,1480.2896443693996
DRD01,OUT013,909.3779262174655
FDM22,OUT046,880.2975325792324
FDH33,OUT013,671.9532770800736
DRZ24,OUT013,1946.0913653220023
NCQ38,OUT046,1714.648195368985
FDO16,OUT027,2276.0694271570387
FDU07,OUT027,3932.2287370396816
NCB07,OUT013,3195.491258885051
FDU48,OUT045,2158.641260413562
NCM43,OUT045,2713.0165449013784
FDR31,OUT010,365.137269037411
DRK49,OUT018,554.8302597394411
NCI30,OUT010,615.8414774473333
DRD60,OUT017,2978.183119812677
NCG19,OUT046,3873.3737861625086
FDH12,OUT035,1720.2695467163962
FDM32,OUT035,1483.917701836128
FDM27,OUT035,2565.77303025189
NCU53,OUT027,4352.483136505635
NCQ18,OUT046,1614.7095024335767
FDS10,OUT013,2939.7619658707436
FDB33,OUT027,4140.217534802884
FDI12,OUT013,1402.23652002373
NCW42,OUT013,3644.692196955338
NCC06,OUT018,1798.01239047941
FDW02,OUT017,2073.198020107288
NCD43,OUT017,1709.0984251750476
FDM57,OUT018,1156.0652124054163
FDA58,OUT017,3913.229730840111
FDK56,OUT046,3053.0946533471233
FDP52,OUT045,3806.2447562235748
FDW20,OUT018,1729.1485898883639
FDS52,OUT049,1644.2816697860794
NCT29,OUT018,1680.9601402647775
NCL54,OUT013,2906.5005174014814
FDC05,OUT045,3266.195389375092
FDF34,OUT035,3246.8152877116718
FDP03,OUT027,3302.4464999130387
FDD32,OUT010,186.21908043092367
FDZ10,OUT045,2083.037773232565
FDZ40,OUT035,874.8026319426901
FDD51,OUT018,596.7948438332162
NCY30,OUT019,432.1466651650419
FDP58,OUT017,3595.9474516992996
FDV49,OUT017,4368.530932129024
FDY24,OUT019,127.33429975675199
NCO55,OUT017,1752.0414840823644
FDR13,OUT017,1913.118832042641
FDS51,OUT017,1000.1409273254078
FDP26,OUT045,1717.7300526653457
NCB54,OUT027,3424.2185873794597
FDF32,OUT017,3243.0278039112254
FDN31,OUT018,2672.0515817211535
DRM48,OUT017,566.4415868375058
FDN20,OUT049,2771.877146754952
DRL01,OUT046,3838.354418155731
FDV56,OUT049,1748.7615331547422
DRH13,OUT027,2878.0473593370234
FDA03,OUT017,2383.2840168938646
FDF47,OUT027,5827.787480745105
FDX32,OUT046,2402.230633880106
FDX57,OUT049,1568.4369050373007
NCA30,OUT045,3130.510399692111
FDO49,OUT013,792.2978506064367
FDL04,OUT019,253.7301922519914
DRM48,OUT035,586.3954954684598
FDR16,OUT013,3509.355632785695
NCC19,OUT018,2728.9733909719466
NCE42,OUT045,3874.4786386676606
FDY24,OUT017,893.4800667776728
FDH19,OUT049,2878.736978776588
FDJ46,OUT013,2855.2783172269155
FDN45,OUT010,563.0501255047955
FDY08,OUT035,2301.795303272962
FDZ37,OUT035,1416.161485507435
NCT30,OUT045,762.2101653234897
DRY23,OUT018,572.518230802888
NCZ30,OUT018,1715.6033659826799
FDC44,OUT018,1584.3249623289003
FDB45,OUT035,1698.7498059982724
FDY04,OUT013,2677.181314174236
FDM27,OUT046,2612.3321503907823
FDZ43,OUT017,3983.5682772446553
FDT39,OUT019,362.96885696163963
NCC06,OUT019,305.4353366294863
FDL15,OUT027,4042.237074002547
FDL57,OUT017,4248.828525965924
FDU08,OUT046,1614.1879365567615
FDK40,OUT017,4368.609881579577
FDQ12,OUT010,583.9736510090968
FDS48,OUT017,2480.1874681838644
FDP09,OUT045,3487.0737026809593
FDW21,OUT049,1626.2762568370533
FDY25,OUT035,2981.9932634979823
DRE13,OUT017,1400.2827796431854
FDV43,OUT019,104.03325997618617
FDD22,OUT045,1831.587663138088
FDM46,OUT019,223.88792941653878
NCO30,OUT010,456.5619999736807
FDM25,OUT046,2861.8977538750723
NCN41,OUT049,2007.1922302987364
FDU24,OUT045,1529.1907443911819
FDZ50,OUT046,3025.21725253758
FDP45,OUT013,4147.299254757467
NCM54,OUT045,2061.051174770514
FDW10,OUT019,421.93430351328266
FDP20,OUT017,2087.0381123211337
FDK32,OUT046,2477.023378912289
FDN52,OUT049,1432.7360693661435
FDM58,OUT045,1810.8683321280398
FDZ46,OUT027,2956.6450602403106
NCA18,OUT018,1645.8345207010789
FDD35,OUT046,1996.5103408346022
NCK31,OUT035,794.6637984901552
FDI40,OUT027,2695.389228137391
FDT50,OUT019,236.02406740536344
NCT06,OUT046,2703.969894954017
FDT31,OUT035,3084.6199938518084
FDT45,OUT049,848.4399810557982
FDT13,OUT045,3078.380935775441
FDO50,OUT045,1477.8679863830885
NCU18,OUT010,344.1397641392002
NCR54,OUT049,3209.2458365990205
NCO18,OUT018,2514.4566986184377
FDU09,OUT045,912.4398266905287
FDT13,OUT018,2644.3151763954647
FDE09,OUT046,1841.0000541274417
NCK53,OUT019,244.00344869877404
FDG45,OUT049,3522.4694753794365
DRH15,OUT035,723.913735937864
FDO21,OUT019,538.6729634368335
FDD14,OUT027,4820.8591993008995
FDC09,OUT046,1674.2906789353083
FDH45,OUT027,1241.27080935143
FDV32,OUT046,1057.9274585713424
FDG12,OUT035,1958.3553926655306
FDS32,OUT013,2294.0465534853465
NCL55,OUT018,3557.1563330619433
DRE01,OUT035,4023.0062024921035
DRE15,OUT049,1249.2621509314308
NCL42,OUT045,4068.9952162267173
FDP31,OUT013,1023.0817235615192
FDN33,OUT018,1313.8231548894084
FDZ59,OUT046,2718.941829709638
FDE45,OUT010,448.5146707828178
FDJ07,OUT013,1945.9736533843281
FDQ45,OUT018,2607.7071523453196
FDM33,OUT027,5708.555063076516
FDO15,OUT010,167.30830589159837
FDM46,OUT013,1515.1127317291007
FDR03,OUT045,3386.150758726848
FDY49,OUT018,2339.890933314699
FDQ60,OUT045,1953.9501275412433
FDW10,OUT049,2887.3126974423435
FDO51,OUT049,719.3746891030714
FDJ40,OUT018,1521.859522284386
FDS20,OUT018,2576.705853936953
FDU45,OUT013,1835.761511096546
FDV02,OUT035,2781.3627826921943
FDN09,OUT046,3996.5467193976438
NCM55,OUT027,4883.482377175827
FDN23,OUT018,2043.0842567070645
FDY31,OUT010,367.7347910613073
FDW03,OUT010,264.6888846251595
FDD14,OUT046,3009.1887820196166
FDV23,OUT017,2062.2296947301593
DRI03,OUT045,2900.2002685045118
FDN13,OUT035,1613.6888440775942
FDF45,OUT027,1660.5906103317825
FDU46,OUT035,1427.1167174901286
FDB57,OUT049,3657.465843472709
FDV12,OUT049,1621.2389703030283
FDQ58,OUT013,2489.9606989603008
NCA18,OUT017,1901.2073282196054
FDH52,OUT049,993.7102911349223
FDM24,OUT018,2122.085289450778
NCP43,OUT027,4743.130065468471
NCO18,OUT019,424.6466699511391
FDM32,OUT017,1475.603573239897
NCL07,OUT017,599.2127561956813
FDK03,OUT013,4180.72719171126
FDP59,OUT017,1659.4106751323466
FDQ24,OUT049,4133.996649003498
FDQ16,OUT018,1525.1965102757297
FDU44,OUT013,2641.8729563826723
FDH28,OUT010,69.16813802578577
FDV28,OUT019,87.12818926841555
FDM22,OUT045,863.6692753867706
FDR56,OUT046,3226.4320670055768
FDV39,OUT049,3244.733010319238
FDU37,OUT019,194.60702768018996
FDQ11,OUT010,666.6410527371725
FDX02,OUT045,3682.441130289364
NCS42,OUT018,1297.516879954394
FDY57,OUT027,2546.549339965682
FDB21,OUT049,3998.7862416331973
FDE28,OUT017,3796.2537689041055
FDQ55,OUT017,1852.1742594715026
FDA48,OUT049,3672.1628587449786
FDZ19,OUT045,2877.5345158788173
NCC43,OUT045,4173.848127167533
NCV18,OUT046,1339.851407150091
NCA42,OUT018,2248.3994631474684
FDY45,OUT046,4225.779927726272
NCC30,OUT045,2938.262975106646
FDM57,OUT013,1391.019896693461
FDL09,OUT010,407.69421919781007
FDB09,OUT027,3311.7366120335055
FDT44,OUT035,1940.7704082966918
NCT06,OUT027,4314.388089538164
FDX26,OUT049,3011.5456354516946
FDK32,OUT013,2510.2798932972123
DRA12,OUT046,2347.6200144816544
FDO46,OUT010,477.5294335850458
FDE52,OUT013,1413.6449574875091
NCH42,OUT045,3805.3102046585354
FDV08,OUT035,675.9610095284256
FDB47,OUT018,2982.725203016947
FDC28,OUT010,272.3827683554616
FDD22,OUT046,1864.8441775230112
FDS07,OUT027,3069.1270355862644
DRI13,OUT045,3573.7291299251538
FDG32,OUT018,3143.926900156811
FDU14,OUT017,4124.671341712087
FDD28,OUT019,142.58021524334526
NCP41,OUT017,1786.3437837503002
FDS08,OUT049,2889.520192024562
FDX47,OUT045,2597.3090717037244
FDC53,OUT019,242.40757244009205
FDQ19,OUT035,3986.7434604392674
FDL14,OUT045,2551.4757709116066
FDM33,OUT019,531.8163043416305
FDA51,OUT045,1859.0715051517855
FDZ27,OUT018,670.45608228578
FDT04,OUT046,650.1480528864802
DRC13,OUT049,2050.3706307197917
FDR16,OUT027,5595.33658348919
FDQ03,OUT027,6141.441780116883
FDE38,OUT035,2767.8782649721225
DRH23,OUT027,1591.2830215489626
FDT11,OUT019,451.7008233481731
FDD09,OUT035,2956.725480587224
FDR40,OUT045,1337.38158161074
FDX07,OUT017,3012.314377652893
FDR07,OUT035,1571.3597913359793
FDA51,OUT017,1875.6997623442471
FDT59,OUT019,553.5972108640765
FDF20,OUT017,3213.316336832766
FDR13,OUT045,1883.18796909621
FDY26,OUT049,3454.922040801188
FDW04,OUT017,2133.5153812259623
FDK52,OUT017,3735.4261840857844
FDN60,OUT049,2579.8503515585435
FDM09,OUT019,411.2487878010495
FDP46,OUT049,1427.5565562599445
FDB50,OUT019,191.49725018242157
NCQ29,OUT049,4274.51102071947
FDP16,OUT027,6373.9587087875425
FDX33,OUT018,2275.3903879421428
FDP07,OUT010,486.3002716336798
FDN22,OUT046,4138.1355096329735
FDF39,OUT049,4318.343423314433
FDS21,OUT017,969.908560662856
NCM42,OUT013,1760.8392148480314
FDK50,OUT019,393.53643093538744
DRF13,OUT027,3874.0144259337894
FDH35,OUT018,2303.2924000220837
FDP60,OUT018,1384.2517365168092
DRJ49,OUT027,3447.8781512160576
NCT42,OUT019,357.222456026577
FDE38,OUT049,2766.2154392528764
FDI04,OUT049,3271.54899081428
NCH54,OUT045,2594.1363555512808
FDT56,OUT049,945.1672699465264
DRD15,OUT018,3290.215516896258
FDV58,OUT013,3182.233120120867
FDP21,OUT049,3087.6605798534238
FDH05,OUT013,3838.5725805026177
FDR10,OUT027,4245.0805007553445
NCP06,OUT045,2443.994320047843
FDF33,OUT049,1746.2350952006836
DRK37,OUT013,3111.916293991625
DRH49,OUT045,1361.5332316060972
FDT58,OUT013,2759.5593592480477
FDD41,OUT018,1467.2305906416186
FDP40,OUT018,1556.1679294424055
FDM51,OUT027,2724.1281315696515
FDO45,OUT010,200.71606470750908
FDW33,OUT010,259.691475151506
FDY24,OUT045,880.1774610237037
FDB10,OUT010,610.160585990385
FDM40,OUT035,2329.528407912062
NCI06,OUT017,2979.0699964581536
FDW12,OUT019,345.72965415645194
FDX48,OUT027,4075.186749959613
NCW05,OUT027,2861.9407734791766
FDX27,OUT017,1541.1963522975195
DRM37,OUT045,3263.213055113124
FDA38,OUT045,3995.9696672028904
FDR36,OUT046,643.5461761463243
FDZ45,OUT046,3273.7094890043963
FDG05,OUT017,2606.944795143697
FDK28,OUT013,4278.491626769394
FDV47,OUT045,1389.8786368510303
FDN21,OUT045,2631.1353195185025
FDP20,OUT027,3372.622655766717
FDI35,OUT045,2990.413393348307
DRY23,OUT013,694.2984470089884
FDA56,OUT017,2015.329455608089
FDB09,OUT013,2013.700271804413
NCO26,OUT027,3122.394069925981
FDQ49,OUT018,2195.198747085861
FDI52,OUT027,3250.850568300295
FDZ44,OUT027,3125.736275379927
FDZ09,OUT018,2310.3534858039175
FDY03,OUT049,1844.2248744155713
NCG42,OUT017,2121.638409395874
DRI13,OUT027,5679.8821910589995
FDQ32,OUT013,2052.0560044315703
FDW16,OUT035,1476.4099562994597
FDU27,OUT046,744.0609237747933
FDR28,OUT010,404.69806922489715
FDQ49,OUT010,383.79398179240775
FDS37,OUT046,1907.773782889436
FDW26,OUT018,3118.901943323896
FDX12,OUT018,3405.1517571707245
NCP06,OUT013,2465.6110543980435
FDW45,OUT010,352.0705810760162
NCN30,OUT049,1536.9420107531466
FDN24,OUT049,850.759574370662
NCL41,OUT027,975.6721418942186
FDR02,OUT019,264.1002719239086
FDD09,OUT010,453.622167949271
FDS33,OUT010,209.74966797313778
FDU22,OUT045,1959.1376257050629
FDI53,OUT013,2677.2556356867144
DRH01,OUT049,2886.177597438611
FDX32,OUT013,2344.03173370649
NCP30,OUT018,527.4008190608829
FDB60,OUT045,3231.936323175857
FDB14,OUT049,1512.9993289954464
NCP02,OUT035,942.5174528495725
FDJ10,OUT017,2314.1461782950414
FDG34,OUT046,1809.1633122072403
NCB18,OUT017,1421.397805282279
FDM16,OUT049,1210.1575956289307
FDW25,OUT018,1180.8047314342475
FDB35,OUT010,214.96482080500869
DRN11,OUT013,2358.0612682012543
FDF41,OUT019,596.6921018675282
FDH16,OUT045,1438.9736206045918
NCQ50,OUT018,2996.1023690347165
DRH23,OUT018,783.2957041515742
DRJ37,OUT013,2498.118547385674
DRJ24,OUT027,4835.22865101703
FDY16,OUT035,3012.3036644710055
FDQ27,OUT045,1728.9583538497645
FDZ33,OUT045,2444.133682133947
FDF29,OUT045,2150.3524452315733
FDA08,OUT049,2683.7980104633884
FDG31,OUT046,1054.3300087496523
FDE34,OUT019,441.17302565609816
NCR30,OUT027,2015.6161307102338
FDV33,OUT035,4266.095630699546
DRZ24,OUT018,1693.4220427214718
NCL54,OUT035,2854.95292010485
FDR12,OUT049,2844.4937463307915
NCC54,OUT046,3985.7356015661926
DRN59,OUT013,730.0161227549524
FDX50,OUT019,266.09979126153667
FDV31,OUT027,4673.822476685651
NCA29,OUT027,4530.930495180463
FDW60,OUT049,2919.842072129785
FDX08,OUT017,3003.0520246340884
DRD49,OUT013,3905.3037671513393
FDD33,OUT046,3815.0497311592553
FDW35,OUT013,674.9788448107422
FDJ36,OUT017,1678.9418122680086
FDV51,OUT035,2731.569217882611
FDW36,OUT046,1742.0632962458026
FDH35,OUT046,2710.234266444627
NCS30,OUT027,3468.195509598709
FDN49,OUT017,599.694594913113
FDL08,OUT018,3484.8484461281405
FDI09,OUT013,3951.3028400098556
FDP19,OUT018,1819.82711812005
FDU21,OUT010,59.537666528284944
NCP41,OUT045,1754.750095084623
FDY10,OUT013,1835.86751235064
FDP12,OUT018,491.6846005941527
NCN26,OUT049,1902.4014954454772
FDK44,OUT013,2865.753796793198
FDC28,OUT049,1790.6488595474716
FDJ41,OUT027,6828.03135128142
NCT29,OUT035,2024.138677740693
NCH42,OUT019,549.1250181283465
FDU60,OUT018,2346.099962334629
FDS02,OUT045,3185.2850360649118
FDC51,OUT046,2018.6099487013685
FDU03,OUT013,2998.5803735227632
FDX39,OUT045,3488.7836489193724
NCY05,OUT010,67.02002713237835
NCL06,OUT027,6744.222247952983
FDD32,OUT035,1293.8200622588922
NCN41,OUT045,2005.5294045794903
NCX53,OUT049,2313.07385831144
FDU57,OUT019,360.8935946234492
FDQ23,OUT046,1707.7704762386697
FDQ52,OUT045,4105.186091574507
FDC14,OUT045,634.8901253191616
FDY09,OUT035,2905.8497231573497
FDQ28,OUT045,2569.7550685448496
FDV25,OUT046,3654.337693967641
FDJ07,OUT035,1909.3914875609123
DRB25,OUT049,1734.4131421177608
FDK52,OUT019,541.9466909737932
FDY52,OUT027,1746.0047849724492
FDB28,OUT046,3267.571150186064
FDT36,OUT035,570.3287177994093
FDV25,OUT017,3672.628776879348
NCN07,OUT027,3454.56256212395
FDC57,OUT017,3173.8621970907284
FDQ03,OUT018,3346.6441935081702
FDU23,OUT017,2749.344708268991
NCX41,OUT035,3496.950629093829
NCD06,OUT035,745.9696922973378
FDW08,OUT045,1745.2238792080614
NCU29,OUT017,2388.736288587511
NCE06,OUT013,2655.813792917258
FDV52,OUT010,275.3181573328443
FDB02,OUT017,2910.8764952314373
NCR18,OUT045,679.0911585048914
FDK16,OUT049,1544.409867705924
NCQ29,OUT010,664.259445713237
FDZ01,OUT019,249.7436176148026
FDW27,OUT035,2589.952759083197
FDD17,OUT018,3373.230640256157
FDW39,OUT013,2914.859568323532
DRH59,OUT045,1180.0897179795122
FDS52,OUT013,1665.8984041362796
FDU40,OUT027,5100.761287059498
NCF54,OUT013,2850.0700634600557
FDH46,OUT045,1687.306257078446
NCP14,OUT049,1698.7894836254761
FDH50,OUT049,3046.674891763033
DRF15,OUT010,373.83658978351946
FDV27,OUT027,2363.0886731099354
NCJ06,OUT049,1958.2734089444461
FDN02,OUT018,2898.310336271989
FDQ51,OUT049,729.7847801840082
FDQ07,OUT017,3670.417925177583
FDS45,OUT049,1728.366316213495
NCJ06,OUT045,1974.9016661369078
FDD36,OUT035,1917.9706006436575
FDY25,OUT045,3006.935649286675
FDU52,OUT046,2553.3055526861563
DRK47,OUT017,3751.8520258551753
NCL30,OUT017,2098.197287159511
FDN22,OUT035,4149.775289667697
NCF30,OUT027,3348.0945248592607
FDK03,OUT035,4230.611963288645
FDT45,OUT017,881.6964954407215
NCC54,OUT027,6227.658490413664
FDP08,OUT018,2748.5718123758297
